startdate,enddate,status,ipaddress,progress,durationinseconds,finished,recordeddate,responseid,locationlatitude,locationlongitude,userlanguage,q1,q31,q36_1,q4,q5,q8,q33_1,q33_2,q33_3,q33_4,q33_5,q33_6,q9,q10,q11,q7,q12,q14,q15,q32,q21,q22,q23,q24,q25,q26,q27,q34,q35
11/30/2023 9:13,11/30/2023 9:13,0,104.1.216.106,100,52,1,11/30/2023 9:13,R_2wGiJ6gl1OnFdCr,28.534401,-81.378304,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2023 14:03,11/30/2023 13:13,0,104.10.14.213,4,83387,0,12/7/2023 13:22,R_u9rlGiAYUPUaTMR,,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/28/2023 13:34,11/28/2023 13:35,0,104.12.112.227,4,19,0,12/5/2023 13:35,R_1rcOnYVEDrBw0BX,,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2023 13:18,11/29/2023 13:19,0,104.129.207.17,100,52,1,11/29/2023 13:19,R_12h91zJRbW1neUj,33.748501,-84.3871,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2023 7:42,11/30/2023 7:49,0,104.136.114.135,100,375,1,11/30/2023 7:49,R_2SfsUCFtWI1BQ5w,28.530001,-81.405701,EN,1,1,48,3,6,11,3,4,2,5,1,6,1,1,1,6,1,9:00,5:00,6,3,1,1,1,2,2,2,2,3
11/29/2023 14:03,11/29/2023 14:04,0,104.136.163.119,4,84,0,12/6/2023 14:04,R_21mJSgN50XUlcGW,,,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2023 7:27,12/4/2023 7:40,0,104.136.234.38,100,813,1,12/4/2023 7:40,R_1CqEhWznzjPC3sc,28.195101,-81.606201,EN,1,1,53,3,7,"12,11",4,3,2,5,1,6,1,1,1,2,1,7,6,4,1,1,1,8,6,1,2,2,3
11/29/2023 16:44,11/29/2023 16:49,0,104.136.239.99,100,284,1,11/29/2023 16:49,R_3dJTrk2AJfrjeKB,28.195101,-81.606201,ES,1,1,53,3,6,"2,4,9",2,1,4,6,3,5,4,3,1,2,2,8,6,3,1,2,2,7,7,2,2,1,6
11/28/2023 5:35,11/28/2023 5:42,0,104.136.7.98,76,447,0,12/5/2023 5:42,R_2QSyCvsNTAmPpbG,,,EN,1,1,49,4,5,9,5,4,1,3,2,6,1,2,1,2,2,8:00,2:30 PM,4,1,2,1,,,,,,
11/29/2023 12:36,11/29/2023 12:36,0,104.137.122.239,100,18,1,11/29/2023 12:36,R_12seIZZOlXJFeF8,28.2365,-82.328903,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2023 14:39,11/29/2023 14:39,0,104.15.118.150,100,37,1,11/29/2023 14:39,R_31zvy5OWhhrBDx2,25.493099,-80.434402,ES,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2023 11:06,12/1/2023 11:11,0,104.177.206.26,100,300,1,12/1/2023 11:11,R_2CH3beyqoWty4CJ,30.446199,-87.262398,EN,1,1,16,3,6,"4,10",6,3,1,5,2,4,1,1,1,2,3,9,3,4,1,1,1,8,6,4,2,2,5
11/27/2023 17:49,11/27/2023 17:53,0,104.178.83.124,100,256,1,11/27/2023 17:53,R_3PN13g0Gh3wDNLz,30.373699,-87.312599,EN,1,1,16,2,5,7,3,1,2,5,4,6,1,6,1,2,1,8:00,2:00,4,1,1,1,7,7,1,1,2,5
11/27/2023 17:29,11/27/2023 17:30,0,104.179.206.116,100,44,1,11/27/2023 17:30,R_2S8lBzrvSM7266u,28.315901,-80.729202,EN,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/30/2023 9:07,11/30/2023 9:08,0,104.180.26.159,100,8,1,11/30/2023 9:08,R_3LhTzFXZyAwYEn6,30.3958,-81.689301,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
