"","1:00","1:20","10:00","11:00","12:00","24","3:00","4:00","5:00","5:30","6:00","6:30","7:00","8:00","8:30","9:00"
"1:00",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"10:00",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"11:00",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2:30",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"24",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3:00",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5:00",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
"5:30",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6:00",1,0,1,2,0,0,2,1,2,1,22,1,4,3,0,0
"6:30",0,0,0,0,0,0,0,0,0,1,4,2,0,0,1,0
"7:00",0,0,1,0,0,0,0,1,8,0,20,2,3,1,0,0
"7:30",0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0
"7:49",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8:00",1,0,0,0,0,0,0,4,5,1,7,0,1,0,0,0
"8:30",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9:00",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
