"","Consented_Yes","Consented_No","Consented_Yes_Screened_Yes","Consented_Yes_Screened_No","Consented_Yes_Screened_Yes_Finished_Yes","Consented_Yes_Screened_Yes_Finished_No"
"Statewide",290,31,138,152,129,9
"Palm Beach",12,0,12,0,12,0
"Pasco",7,0,7,0,7,0
"Sarasota",3,0,3,0,3,0
"Monroe",1,0,1,0,1,0
"Broward",10,0,10,0,9,1
"Marion",6,0,6,0,6,0
"Brevard",1,0,1,0,1,0
"Highlands",1,0,1,0,1,0
"Miami-Dade",4,0,4,0,3,1
"Hillsborough",19,0,19,0,18,1
"Charlotte",7,0,7,0,7,0
"Duval",7,0,7,0,7,0
"Leon",4,0,4,0,4,0
"St. Johns",3,0,3,0,3,0
"Polk",7,0,7,0,6,1
"Lee",3,0,3,0,3,0
"Hernando",3,0,3,0,3,0
"Putnam",1,0,1,0,1,0
"Escambia",6,0,6,0,6,0
"Nassau",1,0,1,0,1,0
"Collier",1,0,1,0,1,0
"Orange",1,0,1,0,1,0
"Santa Rosa",7,0,7,0,7,0
"Flagler",3,0,3,0,3,0
"Seminole",2,0,2,0,2,0
"Union",1,0,1,0,1,0
"Lake",1,0,1,0,1,0
"Manatee",3,0,3,0,3,0
"Clay",1,0,1,0,1,0
"Glades",1,0,1,0,1,0
"Pinellas",1,0,1,0,1,0
"Alachua",2,0,2,0,2,0
"Okaloosa",2,0,2,0,1,1
"Volusia",1,0,1,0,1,0
"Dixie",1,0,1,0,1,0
"NA",155,31,3,152,0,3
"Bradford",1,0,1,0,0,1
