"","Consented_Yes","Consented_No","Consented_Yes_Screened_Yes","Consented_Yes_Screened_No","Consented_Yes_Screened_Yes_Finished_Yes","Consented_Yes_Screened_Yes_Finished_No"
"Statewide",2191,153,1352,839,1105,247
"Duval",64,0,64,0,54,10
"Wakulla",3,0,3,0,2,1
"Pasco",40,0,40,0,34,6
"Brevard",17,0,17,0,16,1
"Seminole",34,0,34,0,31,3
"Volusia",39,0,39,0,33,6
"Broward",118,0,118,0,87,31
"Polk",141,0,141,0,124,17
"Hillsborough",90,0,90,0,75,15
"Putnam",2,0,2,0,2,0
"Osceola",41,0,41,0,32,9
"Miami-Dade",85,0,85,0,68,17
"Lee",46,0,46,0,37,9
"Okaloosa",14,0,14,0,13,1
"Palm Beach",71,0,71,0,57,14
"St. Lucie",35,0,35,0,26,9
"Columbia",2,0,2,0,2,0
"Orange",103,0,103,0,89,14
"Highlands",5,0,5,0,3,2
"Leon",40,0,40,0,32,8
"Manatee",20,0,20,0,14,6
"Santa Rosa",12,0,12,0,10,2
"Hernando",6,0,6,0,5,1
"Sarasota",30,0,30,0,26,4
"Marion",33,0,33,0,31,2
"Taylor",1,0,1,0,1,0
"Collier",30,0,30,0,24,6
"Dixie",1,0,1,0,1,0
"Lake",21,0,21,0,18,3
"Flagler",14,0,14,0,12,2
"Escambia",29,0,29,0,24,5
"Hendry",2,0,2,0,2,0
"Alachua",23,0,23,0,21,2
"St. Johns",9,0,9,0,9,0
"Sumter",5,0,5,0,4,1
"Pinellas",23,0,23,0,20,3
"Charlotte",4,0,4,0,4,0
"Martin",2,0,2,0,2,0
"Citrus",4,0,4,0,3,1
"Bay",13,0,13,0,11,2
"Jackson",8,0,8,0,8,0
"Walton",6,0,6,0,6,0
"Clay",13,0,13,0,12,1
"Gadsden",4,0,4,0,4,0
"Okeechobee",3,0,3,0,2,1
"Monroe",2,0,2,0,2,0
"Lafayette",1,0,1,0,1,0
"Jefferson",1,0,1,0,1,0
"Hamilton",1,0,1,0,1,0
"Nassau",2,0,2,0,2,0
"Indian River",3,0,3,0,1,2
"Washington",2,0,2,0,2,0
"Levy",1,0,1,0,1,0
"Liberty",1,0,1,0,1,0
"Gilchrist",1,0,1,0,0,1
"NA",866,153,27,839,0,27
"Franklin",2,0,2,0,2,0
"Baker",1,0,1,0,0,1
"Suwannee",1,0,1,0,0,1
